"Cognate","Frequency","First Phoneme","Syllables","Phonemes","Length","Animacy"
"bus",34,"b",1,3,3,"i"
"general",497,"dZ",2,6,7,"a"
"colleagues",23,"k",2,6,10,"a"
"garage",21,"g",2,5,6,"i"
"cable",7,"k",2,4,5,"i"
"project",93,"p",2,7,7,"i"
"camera",36,"k",2,5,6,"i"
"tourists",12,"t",2,7,8,"a"
"giraffe",0,"dZ",2,5,7,"a"
"reporter",20,"r",3,7,8,"a"
"plate",22,"p",1,4,5,"i"
"pirate",4,"p",2,5,6,"a"
"pipe",20,"p",1,3,4,"i"
"plant",125,"p",1,5,5,"a"
"professor",57,"p",3,7,9,"a"
"statue",17,"s",2,5,6,"i"
"client",15,"k",1,6,6,"a"
"cobra",3,"k",2,5,5,"a"
"cube",1,"k",1,4,4,"i"
"organizer",3,"O",4,8,9,"a"
"violin",11,"v",2,6,6,"i"
"circle",60,"s",2,4,6,"i"
"pistol",27,"p",2,5,6,"i"
"official",75,"@",3,5,8,"a"
"problems",247,"p",2,8,8,"i"
"computer",13,"k",3,8,8,"i"
"detective",52,"d",3,8,9,"a"
"athlete",9,"a",2,5,7,"a"
"composer",31,"k",3,7,8,"a"
"colonel",37,"k",2,4,7,"a"
"patient",86,"p",2,5,7,"a"
"hamburger",6,"h",3,7,9,"i"
"capitals",4,"k",3,7,8,"i"
"soup",16,"s",1,3,4,"i"
"vendor",1,"v",2,5,6,"a"
"decision",119,"d",3,6,8,"i"
"rat",6,"r",1,3,3,"a"
"sweater",14,"s",2,5,7,"i"
"engineer",42,"E",3,7,8,"a"
"baby",62,"b",2,4,4,"a"
"institute",50,"I",3,8,9,"i"
"tank",12,"t",1,4,4,"i"
"director",101,"d",3,7,8,"a"
"strategy",22,"s",3,8,8,"i"
"coffee",78,"k",2,4,6,"i"
"cathedral",8,"k",3,8,9,"i"
"telephone",76,"t",3,7,9,"i"
"carpenter",6,"k",3,8,9,"a"
"broccoli",1,"b",3,7,8,"a"
"caramels",1,"k",3,7,8,"i"
"family",331,"f",3,6,6,"a"
"president",382,"p",3,8,9,"a"
"student",131,"s",2,6,7,"a"
"receptionist",5,"r",4,10,12,"a"
"sofa",6,"s",2,4,4,"i"
"biologist",2,"b",4,9,9,"a"
"presenter",1,"p",3,8,9,"a"
"artist",57,"A",2,6,6,"a"
"cereal",17,"s",2,6,6,"i"
"dynamite",5,"d",3,7,8,"i"
"authorities",39,"@",4,8,11,"a"
"members",325,"m",2,6,7,"a"
"antelope",7,"a",3,6,8,"a"
"kangaroo",0,"k",3,7,8,"a"
