"Cognate","Frequency","First Phoneme","Syllables","Phonemes","Length","Animacy"
"bus",2,"b",1,3,3,"i"
"general",632,"x",3,7,7,"a"
"colegas",56,"k",3,7,7,"a"
"garaje",22,"g",3,6,6,"i"
"cable",16,"k",2,5,5,"i"
"proyecto",155,"p",3,8,8,"i"
"cámara",114,"k",3,6,6,"i"
"turistas",51,"t",3,8,8,"a"
"jirafa",2,"x",3,6,6,"a"
"reportero",3,"r",4,9,9,"a"
"plato",85,"p",2,5,5,"i"
"pirata",12,"p",3,6,6,"a"
"pipa",38,"p",2,4,4,"i"
"planta",89,"p",2,6,6,"a"
"profesora",15,"p",4,9,9,"a"
"estatua",36,"E",3,7,7,"i"
"cliente",40,"k",2,7,7,"a"
"cobra",37,"k",2,5,5,"a"
"cubo",26,"k",2,4,4,"i"
"organizador",4,"O",5,11,11,"a"
"violín",17,"b",2,6,6,"i"
"círculo",59,"T",3,7,7,"i"
"pistola",50,"p",3,7,7,"i"
"oficial",118,"O",3,7,7,"a"
"problemas",279,"p",3,9,9,"i"
"computadora",9,"k",5,11,11,"i"
"detective",12,"d",4,9,9,"a"
"atleta",8,"A",3,6,6,"a"
"compositor",4,"k",4,10,10,"a"
"coronel",6,"k",3,7,7,"a"
"paciente",52,"p",3,8,8,"a"
"hamburguesa",3,"A",4,9,11,"i"
"capitales",13,"k",4,9,9,"i"
"sopa",31,"s",2,4,4,"i"
"vendedor",21,"b",3,8,8,"a"
"decisión",140,"d",4,8,8,"i"
"rata",34,"r",2,4,4,"a"
"suéter",6,"s",2,6,6,"i"
"ingeniero",70,"I",4,9,9,"a"
"bebé",30,"b",2,4,4,"a"
"instituto",84,"I",4,9,9,"i"
"tanque",12,"t",2,5,6,"i"
"director",173,"d",3,8,8,"a"
"estrategia",54,"E",4,10,10,"i"
"café",210,"k",2,4,4,"i"
"catedral",58,"k",3,8,8,"i"
"teléfono",186,"t",4,8,8,"i"
"carpintero",12,"k",4,10,10,"a"
"brócoli",1,"b",0,0,7,"a"
"caramelos",15,"k",4,9,9,"i"
"familia",495,"f",3,7,7,"a"
"presidente",138,"p",4,10,10,"a"
"estudiante",37,"E",4,10,10,"a"
"recepcionista",3,"r",5,11,13,"a"
"sofá",67,"s",2,4,4,"i"
"bióloga",1,"b",4,7,7,"a"
"presentador",3,"p",4,11,11,"a"
"artista",102,"A",3,7,7,"a"
"cereal",1,"T",3,6,6,"i"
"dinamita",2,"d",4,8,8,"i"
"autoridades",37,"A",0,0,11,"a"
"miembros",140,"m",0,0,8,"a"
"antílope",1,"A",4,8,8,"a"
"canguro",2,"k",3,7,7,"a"
